video,vidFrame,totalFramesOnDetection,class,score,ymin,xmin,ymax,xmax
AI1 Potholes 002.MP4,757.0,4738.0,pothole,0.5010365,0.85092074,0.71836984,0.99922854,1.0
AI1 Potholes 002.MP4,817.0,4798.0,pothole,0.57843393,0.86609566,0.7031995,1.0,1.0
AI1 Potholes 002.MP4,829.0,4810.0,pothole,0.52308726,0.8587835,0.7257479,0.9984441,1.0
AI1 Potholes 002.MP4,901.0,4882.0,pothole,0.52698374,0.86350745,0.74027467,1.0,1.0
AI1 Potholes 002.MP4,913.0,4894.0,pothole,0.5668687,0.8623137,0.72098625,1.0,1.0
AI1 Potholes 002.MP4,937.0,4918.0,pothole,0.6731722,0.8503594,0.72859263,0.9996571,1.0
AI1 Potholes 002.MP4,949.0,4930.0,pothole,0.6339906,0.8494548,0.7041047,0.9998074,1.0
AI1 Potholes 002.MP4,973.0,4954.0,pothole,0.5878198,0.85443074,0.6675489,1.0,0.9834726
AI1 Potholes 002.MP4,997.0,4978.0,pothole,0.58886683,0.8507017,0.7177344,0.9990549,1.0
AI1 Potholes 002.MP4,1045.0,5026.0,pothole,0.61837167,0.8419916,0.6608094,0.9990893,0.9679762
AI1 Potholes 002.MP4,1069.0,5050.0,pothole,0.5170794,0.8428844,0.6619856,0.999611,0.9790552
AI1 Potholes 002.MP4,1105.0,5086.0,pothole,0.6827528,0.85611135,0.69235384,1.0,1.0
AI1 Potholes 003.MP4,217.0,5421.0,pothole,0.5048478,0.6351363,0.6171428,0.9980672,0.9592849
AI1 Potholes 003.MP4,253.0,5457.0,pothole,0.5220694,0.0014108196,0.0,0.16913828,0.40657413
AI1 Potholes 003.MP4,301.0,5505.0,pothole,0.5649096,0.6019981,0.045467526,0.936587,0.3838832
AI1 Potholes 003.MP4,337.0,5541.0,pothole,0.5182327,0.6383881,0.63317657,0.99322563,0.9618367
AI1 Potholes 003.MP4,349.0,5553.0,pothole,0.5876818,0.6403285,0.64589465,0.9923798,0.9738213
AI1 Potholes 003.MP4,469.0,5673.0,pothole,0.62684315,0.23046419,0.41553855,0.4584035,0.70952594
AI1 Potholes 003.MP4,589.0,5793.0,pothole,0.8773203,0.5105016,0.21345897,0.8012539,0.55331427
AI1 Potholes 003.MP4,613.0,5817.0,pothole,0.56129956,0.7300038,0.6425318,0.9914977,0.9892451
AI1 Potholes 003.MP4,865.0,6069.0,pothole,0.6095716,0.22661215,0.042125523,0.4195922,0.64606136
AI1 Potholes 003.MP4,1021.0,6225.0,pothole,0.5193094,0.7390275,0.69957066,0.9942801,0.9659103
AI1 Potholes 003.MP4,1093.0,6297.0,pothole,0.50056446,0.8083671,0.6963484,0.99446505,0.94450104
AI1 Potholes 003.MP4,1177.0,6381.0,pothole,0.5806413,0.8497511,0.70926833,0.99989665,0.95860255
